Date,NAO_index
1825-01-01,-0.226
1825-02-01,0.211
1825-03-01,0.327
1825-04-01,-0.276
1825-05-01,0.131
1825-06-01,0.41
1825-07-01,-0.919
1825-08-01,1.43
1825-09-01,-0.947
1825-10-01,1.981
1825-11-01,1.059
1825-12-01,-1.305
1826-01-01,-3.049
1826-02-01,4.875
1826-03-01,-0.975
1826-04-01,1.782
1826-05-01,-1.204
1826-06-01,0.835
1826-07-01,1.887
1826-08-01,2.717
1826-09-01,-0.755
1826-10-01,0.183
1826-11-01,-2.411
1826-12-01,-0.591
1827-01-01,-0.447
1827-02-01,-3.717
1827-03-01,1.834
1827-04-01,-0.827
1827-05-01,1.196
1827-06-01,-0.075
1827-07-01,2.022
1827-08-01,-3.558
1827-09-01,-0.075
1827-10-01,-3.016
1827-11-01,-1.417
1827-12-01,2.702
1828-01-01,1.268
1828-02-01,0.365
1828-03-01,-0.183
1828-04-01,0.042
1828-05-01,-1.589
1828-06-01,-1.33
1828-07-01,-4.401
1828-08-01,-2.543
1828-09-01,-2.781
1828-10-01,0.101
1828-11-01,-2.571
1828-12-01,3.04
1829-01-01,-2.481
1829-02-01,0.319
1829-03-01,-2.536
1829-04-01,0.123
1829-05-01,1.799
1829-06-01,-0.096
1829-07-01,0.333
1829-08-01,0.773
1829-09-01,0.777
1829-10-01,0.709
1829-11-01,-0.332
1829-12-01,-0.425
1830-01-01,-2.329
1830-02-01,1.197
1830-03-01,3.58
1830-04-01,3.08
1830-05-01,-0.046
1830-06-01,-0.849
1830-07-01,3.191
1830-08-01,-0.353
1830-09-01,2.039
1830-10-01,2.04
1830-11-01,2.192
1830-12-01,-3.13
1831-01-01,-2.908
1831-02-01,1.401
1831-03-01,1.484
1831-04-01,-3.148
1831-05-01,-2.475
1831-06-01,-1.357
1831-07-01,2.71
1831-08-01,-3.045
1831-09-01,-1.531
1831-10-01,0.847
1831-11-01,0.256
1831-12-01,0.365
1832-01-01,-0.038
1832-02-01,0.828
1832-03-01,2.118
1832-04-01,-1.513
1832-05-01,-1.964
1832-06-01,-3.618
1832-07-01,-2.568
1832-08-01,0.921
1832-09-01,1.452
1832-10-01,2.252
1832-11-01,0.618
1832-12-01,3.322
1833-01-01,-0.357
1833-02-01,2.522
1833-03-01,-2.887
1833-04-01,2.016
1833-05-01,0.692
1833-06-01,-1.523
1833-07-01,0.127
1833-08-01,-1.738
1833-09-01,-0.93
1833-10-01,-1.745
1833-11-01,1.404
1833-12-01,4.174
1834-01-01,3.068
1834-02-01,2.662
1834-03-01,1.37
1834-04-01,-2.38
1834-05-01,-1.027
1834-06-01,0.272
1834-07-01,-0.728
1834-08-01,-0.86
1834-09-01,-0.621
1834-10-01,0.304
1834-11-01,-2.284
1834-12-01,0.111
1835-01-01,0.375
1835-02-01,3.371
1835-03-01,1.539
1835-04-01,-1.024
1835-05-01,0.581
1835-06-01,0.102
1835-07-01,0.571
1835-08-01,2.349
1835-09-01,0.288
1835-10-01,-0.297
1835-11-01,-1.311
1835-12-01,-1.464
1836-01-01,1.468
1836-02-01,0.055
1836-03-01,2.278
1836-04-01,0.874
1836-05-01,-1.504
1836-06-01,2.947
1836-07-01,4.327
1836-08-01,2.798
1836-09-01,-1.587
1836-10-01,-1.167
1836-11-01,2.039
1836-12-01,-1.412
1837-01-01,-1.156
1837-02-01,4.67
1837-03-01,-3.077
1837-04-01,-0.56
1837-05-01,-1.022
1837-06-01,-2.98
1837-07-01,-2.398
1837-08-01,0.006
1837-09-01,0.169
1837-10-01,2.517
1837-11-01,1.342
1837-12-01,1.365
1838-01-01,-2.16
1838-02-01,-1.805
1838-03-01,1.231
1838-04-01,-0.612
1838-05-01,-2.156
1838-06-01,1.237
1838-07-01,0.11
1838-08-01,1.156
1838-09-01,1.46
1838-10-01,0.588
1838-11-01,-2.646
1838-12-01,2.552
1839-01-01,1.243
